CASE ID,Activity,current
20187003715,Request completed with account closure,5771423.0
20187003728,Request completed with account closure,5486132.0
20187003740,Request completed with account closure,5505883.0
20187003885,Request completed with account closure,7254887.0
20187003967,Request completed with account closure,5331039.0
20187003990,Request completed with account closure,5761119.0
20187004077,Request completed with account closure,5111782.0
20187004101,Request completed with account closure,7913403.0
20187004235,Request completed with account closure,6085788.0
20187004254,Request completed with account closure,5306861.0
20187004258,Request completed with account closure,5306728.0
20187004283,Request completed with account closure,5477155.0
20187004300,Request completed with account closure,6747341.0
20187004354,Request completed with account closure,11637216.0
20187004382,Request completed with account closure,6369063.0
20187004429,Request completed with account closure,8613137.0
20187004544,Request completed with account closure,6273159.0
20187004548,Request completed with account closure,8087292.0
20187004620,Request completed with account closure,5060456.0
20187004655,Request completed with account closure,4920226.0
20187004799,Request completed with account closure,5731957.0
20187004831,Request completed with account closure,8618727.0
20187004885,Request completed with account closure,577883.0
20187004900,Request deleted,8473080.0
20187005148,Request completed with account closure,6028227.0
20187005210,Request completed with account closure,4752589.0
20187005231,Request completed with account closure,5418399.0
20187005268,Request completed with account closure,5565304.0
20187005335,Request completed with account closure,4989782.0
20187005346,Request completed with account closure,4987226.0
20187005435,Request completed with account closure,4897250.0
20187005455,Request completed with account closure,5069121.0
20187005545,Request completed with account closure,4977204.0
20187005548,Request completed with account closure,11391740.0
20187005559,Request completed with account closure,4858482.0
20187005562,Request completed with account closure,4889828.0
20187005620,Request completed with account closure,4969201.0
20187005659,Request completed with account closure,4966440.0
20187005670,Request completed with account closure,4879481.0
20187005676,Request completed with account closure,4877269.0
20187005751,Request completed with account closure,4905107.0
20187005789,Request completed with account closure,4902433.0
20187005958,Request completed with account closure,4892881.0
20187005960,Request completed with account closure,4916824.0
20187005975,Request completed with account closure,7589505.0
20187006017,Request completed with account closure,5171314.0
20187006163,Request completed with account closure,4872324.0
20187006189,Request completed with account closure,4817939.0
20187006207,Request completed with account closure,4838295.0
20187006327,Request completed with account closure,14738848.0
20187006359,Request completed with account closure,11802162.0
20187006426,Request completed with account closure,2929222.0
20187006482,Request completed with account closure,5682918.0
20187006649,Request completed with account closure,4472220.0
20187006695,Request completed with account closure,4468777.0
20187006707,Request completed with account closure,4488385.0
20187006721,Request completed with account closure,10597758.0
20187006824,Request completed with account closure,4031525.0
20187006893,Request completed with account closure,8260754.0
20187006913,Request completed with account closure,5172949.0
20187006977,Request completed with account closure,5521899.0
20187007000,Request completed with account closure,4538160.0
20187007002,Request completed with account closure,4537963.0
20187007038,Request completed with account closure,4392910.0
20187007095,Request completed with account closure,4446889.0
20187007165,Request completed with account closure,4230693.0
20187007166,Request completed with account closure,4442027.0
20187007194,Request completed with account closure,4991833.0
20187007235,Request completed with account closure,6891121.0
20187007239,Request completed with account closure,8987920.0
20187007250,Request completed with account closure,16476772.0
20187007311,Request completed with account closure,5451568.0
20187007516,Request completed with account closure,4371832.0
20187007541,Request completed with account closure,5406926.0
20187007606,Request completed with account closure,5071817.0
20187007710,Request deleted,12174691.0
20187007715,Request completed with account closure,12042565.0
20187007729,Request completed with account closure,4441673.0
20187007764,Request completed with account closure,4904334.0
20187007833,Request completed with account closure,4064780.0
20187007850,Request deleted,9069580.0
20187007919,Request completed with account closure,4292503.0
20187007967,Request completed with account closure,3858762.0
20187007987,Request completed with account closure,4289443.0
20187008023,Request completed with account closure,5604899.0
20187008090,Request completed with account closure,5432190.0
20187008101,Request deleted,9681875.0
20187008125,Request completed with account closure,4715908.0
20187008141,Request completed with account closure,4740785.0
20187008207,Request completed with account closure,4363843.0
20187008257,Request completed with account closure,4062377.0
20187008287,Request completed with account closure,4272949.0
20187008304,Request completed with account closure,4789449.0
20187008342,Request completed with account closure,4354698.0
20187008478,Request completed with account closure,4150406.0
20187008501,Request completed with account closure,4809999.0
20187008511,Request completed with account closure,5874330.0
20187008561,Request completed with account closure,4221830.0
20187008752,Request completed with account closure,4190572.0
20187008772,Request completed with account closure,4189860.0
20187008781,Request completed with account closure,4189369.0
20187008788,Request completed with account closure,4189386.0
20187008848,Request completed with account closure,2803177.0
20187008886,Request completed with account closure,6542296.0
20187008936,Request completed with account closure,6046198.0
20187008946,Request completed with account closure,9479243.0
20187009044,Request completed with account closure,6038386.0
20187009064,Request completed with account closure,4118342.0
20187009150,Request completed with account closure,3900553.0
20187009189,Request completed with account closure,4198274.0
20187009194,Request completed with account closure,4889103.0
20187010782,Request completed with account closure,834816.0
20187011110,Request completed with account closure,4882032.0
20187011141,Request completed with account closure,8877650.0
20187011150,Request completed with account closure,4275216.0
20187011157,Request completed with account closure,4879626.0
20187011541,Request completed with account closure,3976095.0
20187011696,Request completed with account closure,3684493.0
20187011827,Request completed with account closure,3937681.0
20187011832,Request completed with account closure,4823212.0
20187011834,Request completed with account closure,4022511.0
20187011979,Request completed with account closure,4615739.0
20187011988,Request completed with account closure,3663972.0
20187011991,Request completed with account closure,3749968.0
20187012167,Request completed with account closure,6137368.0
20187012223,Request completed with account closure,4553078.0
20187012253,Request completed with account closure,7163393.0
20187012268,Request completed with account closure,3773410.0
20187012281,Request completed with account closure,4141755.0
20187012328,Request completed with account closure,3703287.0
20187012370,Request completed with account closure,3853283.0
20187012385,Request completed with account closure,4227768.0
20187012389,Request completed with account closure,3765542.0
20187012439,Request completed with account closure,3844196.0
20187012460,Request completed with account closure,4125232.0
20187012480,Request completed with account closure,6346932.0
20187012512,Request completed with account closure,3858635.0
20188000080,Request deleted,14510683.0
20188000098,Request completed with account closure,3797140.0
20188000104,Request deleted,16520130.0
20188000118,Request completed with account closure,15196471.0
20188000140,Request completed with account closure,3683564.0
20188000170,Request completed with account closure,4203745.0
20188000177,Request completed with account closure,6123190.0
20188000209,Request completed with account closure,3770593.0
20188000226,Request completed with account closure,4052280.0
20188000338,Request completed with account closure,4650851.0
20188000379,Request completed with account closure,3671853.0
20188000395,Request deleted,4235985.0
20188000429,Request completed with account closure,3668629.0
20188000450,Request completed with account closure,4098457.0
20188000498,Request completed with account closure,4434506.0
20188000702,Request completed with account closure,3695832.0
20188000745,Request completed with account closure,4840107.0
20188000755,Request completed with account closure,3606805.0
20188000765,Request completed with account closure,4383267.0
20188000799,Request completed with account closure,3689196.0
20188000895,Request completed with account closure,7742099.0
20188000904,Request completed with account closure,3598885.0
20188000918,Request completed with account closure,5517197.0
20188000996,Request deleted,5538981.0
20188000998,Request completed with account closure,4198811.0
20188001000,Request completed with account closure,7161148.0
20188001006,Request completed with account closure,4198809.0
20188001010,Request completed with account closure,6726979.0
20188001021,Request completed with account closure,3380598.0
20188001037,Request completed with account closure,5234351.0
20188001041,Request completed with account closure,8945894.0
20188001122,Request completed with account closure,4040215.0
20188001153,Request completed with account closure,1002619.0
20188001170,Request completed with account closure,3607562.0
20188001213,Request completed with account closure,3580110.0
20188001436,Request completed with account closure,3288305.0
20188001440,Request completed with account closure,3544101.0
20188001448,Request completed with account closure,3643022.0
20188001455,Request completed with account closure,4641791.0
20188001472,Request completed with account closure,3086676.0
20188001511,Request completed with account closure,4293739.0
20188001536,Request completed with account closure,3514808.0
20188001541,Request deleted,4845839.0
20188001554,Request completed with account closure,6019286.0
20188001568,Request completed with account closure,4636041.0
20188001573,Request completed with account closure,5872094.0
20188001583,Request completed with account closure,3512867.0
20188001596,Request completed with account closure,5870499.0
20188001623,Request completed with account closure,3336955.0
20188001659,Request completed with account closure,3507456.0
20188001677,Request completed with account closure,9464636.0
20188001782,Request completed with account closure,6003718.0
20188001823,Request completed with account closure,5852174.0
20188001871,Request completed with account closure,3348314.0
20188001893,Request completed with account closure,654866.0
20188001896,Request completed with account closure,3630287.0
20188001938,Request completed with account closure,7057932.0
20188001945,Request completed with account closure,3343042.0
20188001991,Request completed with account closure,5586060.0
20188001993,Request completed with account closure,3253733.0
20188002008,Request completed with account closure,4461429.0
20188002055,Request completed with account closure,3617056.0
20188002067,Request completed with account closure,4482112.0
20188002188,Request completed with account closure,3414078.0
20188002190,Request completed with account closure,2907754.0
20188002219,Request completed with account closure,3239680.0
20188002226,Request completed with account closure,3843101.0
20188002269,Request completed with account closure,5740786.0
20188002337,Request completed with account closure,930116.0
20188002357,Request completed with account closure,3779992.0
20188002359,Request completed with account closure,670769.0
20188002385,Request completed with account closure,3174823.0
20188002484,Request completed with account closure,3170573.0
20188002514,Request completed with account closure,3340925.0
20188002523,Request completed with account closure,1017634.0
20188002537,Request completed with account closure,3167523.0
20188002563,Request completed with account closure,3535923.0
20188002648,Request completed with account closure,5366010.0
20188002697,Request completed with account closure,3066430.0
20188002701,Request completed with account closure,3843816.0
20188002723,Request completed with account closure,8591076.0
20188002775,Request completed with account closure,3233464.0
20188002798,Request completed with account closure,2368110.0
20188002815,Request completed with account closure,3867767.0
20188002826,Request completed with account closure,3262280.0
20188002875,Request completed with account closure,8958779.0
20188002936,Request completed with account closure,3174768.0
20188002954,Request completed with account closure,5954862.0
20188002972,Request completed with account closure,1442662.0
20188003010,Request completed with account closure,3859286.0
20188003016,Request completed with account closure,3537867.0
20188003017,Request completed with account closure,3168181.0
20188003155,Request completed with account closure,3110989.0
20188003212,Request completed with account closure,3764286.0
20188003255,Request completed with account closure,3672372.0
20188003257,Request completed with account closure,3154519.0
20188003285,Request completed with account closure,3842938.0
20188003291,Request completed with account closure,2978792.0
20188003317,Request completed with account closure,4296887.0
20188003320,Request completed with account closure,3063851.0
20188003325,Request completed with account closure,2714046.0
20188003341,Request completed with account closure,3146908.0
20188003668,Request completed with account closure,5827046.0
20188003687,Request completed with account closure,4355555.0
20188003763,Request completed with account closure,8875666.0
20188003764,Request completed with account closure,3090494.0
20188003768,Request completed with account closure,5595509.0
20188003817,Request completed with account closure,5359828.0
20188003831,Request completed with account closure,5437503.0
20188003867,Request completed with account closure,3085342.0
20188003868,Request completed with account closure,2999089.0
20188003900,Request completed with account closure,2991953.0
20188003922,Request completed with account closure,5932662.0
20188003925,Request completed with account closure,3536099.0
20188003932,Request completed with account closure,4913796.0
20188003964,Request completed with account closure,2993629.0
20188004001,Request completed with account closure,13293158.0
20188004007,Request completed with account closure,4140482.0
20188004042,Request completed with account closure,4306620.0
20188004063,Request completed with account closure,3352253.0
20188004070,Request completed with account closure,3156988.0
20188004083,Request completed with account closure,5315754.0
20188004157,Request completed with account closure,3065774.0
20188004172,Request completed with account closure,6377865.0
20188004198,Request completed with account closure,5481999.0
20188004233,Request completed with account closure,2881478.0
20188004267,Request completed with account closure,12157886.0
20188004280,Request deleted,11623.0
20188004363,Request completed with account closure,8522740.0
20188004370,Request completed with account closure,3428196.0
20188004378,Request completed with account closure,2930126.0
20188004390,Request completed with account closure,3623460.0
20188004392,Request completed with account closure,2909376.0
20188004421,Request completed with account closure,8864410.0
20188004429,Request completed with account closure,13356319.0
20188004434,Request completed with account closure,5264735.0
20188004451,Request completed with account closure,2838419.0
20188004474,Request completed with account closure,3421877.0
20188004509,Request completed with account closure,921835.0
20188004538,Request completed with account closure,5337579.0
20188004585,Request completed with account closure,8873863.0
20188004594,Request completed with account closure,3866787.0
20188004625,Request completed with account closure,3409920.0
20188004640,Request completed with account closure,3063584.0
20188004655,Request completed with account closure,8762175.0
20188004657,Request completed with account closure,4012902.0
20188004666,Request completed with account closure,3320707.0
20188004723,Request completed with account closure,2744822.0
20188004743,Request completed with account closure,2829507.0
20188004775,Request completed with account closure,2224090.0
20188004794,Request completed with account closure,2740664.0
20188004810,Request completed with account closure,2825560.0
20188004814,Request completed with account closure,657730.0
20188004824,Request completed with account closure,2652186.0
20188004826,Request completed with account closure,2673625.0
20188004851,Request completed with account closure,2436144.0
20188004878,Request completed with account closure,5432971.0
20188004933,Request completed with account closure,3704529.0
20188004953,Request completed with account closure,2642844.0
20188004960,Request completed with account closure,3011302.0
20188005013,Request completed with account closure,5770687.0
20188005016,Request completed with account closure,3671469.0
20188005061,Request completed with account closure,2201805.0
20188005079,Request completed with account closure,2804577.0
20188005091,Request completed with account closure,3260178.0
20188005162,Request completed with account closure,751347.0
20188005164,Request completed with account closure,2572546.0
